repo	mra_file	name	setname	parent	mameversion	rbf	year	manufacturer
Arcade-Atari-system1_MiSTer	Marble Madness (set 3).mra	Marble Madness (set 3)	marble3		0254	atarisys1	1984	Atari Games
Arcade-Atari-system1_MiSTer	Marble Madness (set 4).mra	Marble Madness (set 4)	marble4		0254	atarisys1	1984	Atari Games
Arcade-Atari-system1_MiSTer	Marble Madness (set 5 - LSI).mra	Marble Madness (set 5 - LSI Cartridge)	marble5		0254	atarisys1	1984	Atari Games
Arcade-Atari-system1_MiSTer	Peter Pack Rat.mra	Peter Pack Rat	peterpak		0254	atarisys1	1984	Atari Games
Arcade-Atari-system1_MiSTer	Road Blasters (cockpit, German, rev 1).mra	Road Blasters (cockpit, German, rev 1)	roadblstcg		0254	atarisys1	1987	Atari Games
Arcade-Atari-system1_MiSTer	Road Blasters (cockpit, rev 1).mra	Road Blasters (cockpit, rev 1)	roadblstc1		0254	atarisys1	1987	Atari Games
Arcade-Atari-system1_MiSTer	Road Blasters (cockpit, rev 2).mra	Road Blasters (cockpit, rev 2)	roadblstc		0254	atarisys1	1987	Atari Games
Arcade-Atari-system1_MiSTer	Road Blasters (upright, German, rev 1).mra	Road Blasters (upright, German, rev 1)	roadblstg1		0254	atarisys1	1987	Atari Games
Arcade-Atari-system1_MiSTer	Road Blasters (upright, German, rev 2).mra	Road Blasters (upright, German, rev 2)	roadblstg2		0254	atarisys1	1987	Atari Games
Arcade-Atari-system1_MiSTer	Road Blasters (upright, German, rev 3)).mra	Road Blasters (upright, German, rev 3)	roadblstg		0254	atarisys1	1987	Atari Games
Arcade-Atari-system1_MiSTer	Road Blasters (upright, German, rev X).mra	Road Blasters (upright, German, rev ?)	roadblstgu		0254	atarisys1	1987	Atari Games
Arcade-Atari-system1_MiSTer	Road Blasters (upright, rev 1).mra	Road Blasters (upright, rev 1)	roadblst1		0254	atarisys1	1987	Atari Games
Arcade-Atari-system1_MiSTer	Road Blasters (upright, rev 2).mra	Road Blasters (upright, rev 2)	roadblst2		0254	atarisys1	1987	Atari Games
Arcade-Atari-system1_MiSTer	Road Blasters (upright, rev 3)).mra	Road Blasters (upright, rev 3)	roadblst3		0254	atarisys1	1987	Atari Games
Arcade-Atari-system1_MiSTer	Road Blasters (upright, rev 4).mra	Road Blasters (upright, rev 4)	roadblst		0254	atarisys1	1987	Atari Games
Arcade-Atari-system1_MiSTer	Road Runner (rev 1).mra	Road Runner (rev 1)	roadrunn1		0254	atarisys1	1985	Atari Games
Arcade-Atari-system1_MiSTer	Road Runner (rev 1p).mra	Road Runner (rev 1+)	roadrunn2		0254	atarisys1	1985	Atari Games
Arcade-Atari-system1_MiSTer	Road Runner (rev 2).mra	Road Runner (rev 2)	roadrunn		0254	atarisys1	1985	Atari Games
Arcade-Athena_MiSTer	Athena.mra	Athena	athena		0193	Athena	1986	SNK
Arcade-Athena_MiSTer	Athena_Screen_Flip_Fix_ROM_Patch.mra	Athena	athena		0193	Athena	1986	SNK
Arcade-Athena_MiSTer	Athena_bootleg.mra	Athena (bootleg)	athenab		0193	Athena	1986	SNK
Arcade-Athena_MiSTer	Country Club.mra	Country Club	countryc		0193	Athena	1988	SNK
Arcade-Athena_MiSTer	Fighting Golf.mra	Fighting Golf	fitegolf		0193	Athena	1988	SNK
Arcade-Athena_MiSTer	Super_Athena.mra	Super Athena (bootleg)	sathena		0193	Athena	1987	bootleg
Arcade-Bagman_MiSTer	Bagman.mra	Bagman	bagman	bagman	0220	bagman	1982	Valadon Automation
Arcade-Bagman_MiSTer	Botanic (English, Spanish, Set 1).mra	Botanic	botanic	botanic	0220	bagman	1983	Itisa
Arcade-Bagman_MiSTer	Pickin'.mra	Pickin'	pickin	pickin	0220	bagman	1983	Valadon Automation
Arcade-Bagman_MiSTer	Squash.mra	Squash	squaitsa	squaitsa	0220	bagman	1984	Itisa
Arcade-Bagman_MiSTer	Super Bagman.mra	Super Bagman	sbagman	sbagman	0217	bagman	1984	Valadon Automation
Arcade-BankPanic_MiSTer	BankPanic.mra	BankPanic	bankp		0247	bankpanic	1984	Sanritsu/Sega
Arcade-BankPanic_MiSTer	Combat Hawk.mra	Combat Hawk	combh		0247	bankpanic	1987	Sanritsu/Sega
Arcade-BattleZone_MiSTer	Battle Zone rev 2.mra	Battle Zone (rev 2)	bzone		0226	BattleZone	1980	Atari
Arcade-BattleZone_MiSTer	Bradley Trainer.mra	Bradley Trainer	bradley		0226	BattleZone	1980	Atari
Arcade-BattleZone_MiSTer	Red Baron.mra	Red Baron	redbarona		0226	BattleZone	1980	Atari
Arcade-Berzerk_MiSTer	Berzerk.mra	Berzerk	berzerk	berzerk	0220	berzerk	1980	Stern
Arcade-BlackWidow_MiSTer	Black Widow.mra	Black Widow	bwidow	bwidow	0218	blackwidow	1982	Atari
Arcade-BlackWidow_MiSTer	Gravitar (Ver 3).mra	Gravitar	gravitar	gravitar	0218	blackwidow	1982	Atari
Arcade-BlackWidow_MiSTer	Lunar Battle (Prototype).mra	Lunar Battle	lunarbat	lunarbat	0218	blackwidow	1982	Atari
Arcade-Blockade_MiSTer	Blasto.mra	Blasto	blasto		0229	blockade	1978	Gremlin
Arcade-Blockade_MiSTer	Blockade.mra	Blockade	blockade		0229	blockade	1976	Gremlin
Arcade-Blockade_MiSTer	CoMotion.mra	CoMotion	comotion		0229	blockade	1976	Gremlin
Arcade-Blockade_MiSTer	Hustle.mra	Hustle	hustle		0229	blockade	1977	Gremlin
Arcade-BloodBros_MiSTer	Blood Bros (World).mra	Blood Bros	bloodbro		0264	BloodBros	1990	TAD Corporation
Arcade-BloodBros_MiSTer	Blood Bros (Japan rev A).mra	Blood Bros (Japan rev A)	bloodbroj		0264	BloodBros	1990	TAD Corporation
Arcade-BloodBros_MiSTer	Blood Bros (Japan).mra	Blood Bros (Japan)	bloodbroja		0264	BloodBros	1990	TAD Corporation
Arcade-BloodBros_MiSTer	Blood Bros (Korea).mra	Blood Bros (Korea)	bloodbrok		0264	BloodBros	1990	TAD Corporation
Arcade-BloodBros_MiSTer	Blood Bros (US).mra	Blood Bros (US)	bloodbrou		0264	BloodBros	1990	TAD Corporation (Fabtek license)
Arcade-BluePrint_MiSTer	Blue Print (Japan).mra		blueprntj	blueprnt	0220	BluePrint	1982	Zilec Electronics / Bally Midway
Arcade-BluePrint_MiSTer	Blue Print (Midway).mra		blueprnt	blueprnt	0220	BluePrint	1982	Zilec Electronics / Bally Midway
Arcade-BluePrint_MiSTer	Saturn (Zilec).mra		saturnzi	blueprnt	0220	BluePrint	1983	Zilec Electronics / Jaleco
Arcade-BluePrint_MiSTer	Grasspin (Jaleco).mra	Grasspin (Zilec)	grasspin	grasspin	0220	BluePrint	1983	Zilec Electronics / Jaleco
Arcade-BombJack_MiSTer	Bomb Jack.mra	Bomb Jack	bombjack	bombjack	0220	bombjack	1984	Tehkan
Arcade-BoogieWings_MiSTer	Boogie Wings (Asia v1.5, 92.12.07).mra	Boogie Wings (Asia v1.5, 92.12.07)	boogwinga		0264	BoogieWings	1992	Data East Corporation
Arcade-BoogieWings_MiSTer	Boogie Wings (Euro v1.5, 92.12.07).mra	Boogie Wings (Euro v1.5, 92.12.07)	boogwing		0264	BoogieWings	1992	Data East Corporation
Arcade-BoogieWings_MiSTer	Boogie Wings (USA v1.7, 92.12.14).mra	Boogie Wings (USA v1.7, 92.12.14)	boogwingu		0264	BoogieWings	1992	Data East Corporation
