repo	set_count	rbf_values	top_manufacturer	year_range	url
Arcade-MrDo_MiSTer	1	mrdo	Universal	1982-1982	https://github.com/MiSTer-devel/Arcade-MrDo_MiSTer
Arcade-MrJong_MiSTer	1	mrjong	Kiwako	1983-1983	https://github.com/MiSTer-devel/Arcade-MrJong_MiSTer
Arcade-MysticMarathon_MiSTer	2	MysticMarathon	Williams	1983-1983	https://github.com/MiSTer-devel/Arcade-MysticMarathon_MiSTer
Arcade-NaughtyBoy_MiSTer	2	naughtyboy	Jaleco	1982-1982	https://github.com/MiSTer-devel/Arcade-NaughtyBoy_MiSTer
Arcade-NightSlashers_MiSTer	4	NightSlashers	Data East Corporation	1993-1994	https://github.com/MiSTer-devel/Arcade-NightSlashers_MiSTer
Arcade-NinjaKun_MiSTer	3	ninjakun	UPL	1984-1984	https://github.com/MiSTer-devel/Arcade-NinjaKun_MiSTer
Arcade-Pacman_MiSTer	21	pacman	Techstar	1980-2013	https://github.com/MiSTer-devel/Arcade-Pacman_MiSTer
Arcade-Pengo_MiSTer	1	pengo	Sega	1982-1982	https://github.com/MiSTer-devel/Arcade-Pengo_MiSTer
Arcade-PenguinKunWars_MiSTer	1	PenguinKunWars	UPL	1985-1985	https://github.com/MiSTer-devel/Arcade-PenguinKunWars_MiSTer
Arcade-Performan_MiSTer	2	Performan	Toaplan	1986-1986	https://github.com/MiSTer-devel/Arcade-Performan_MiSTer
Arcade-Phoenix_MiSTer	2	phoenix	Amstar	1980-1981	https://github.com/MiSTer-devel/Arcade-Phoenix_MiSTer
Arcade-Pleiads_MiSTer	1	phoenix	Tehkan	1981-1981	https://github.com/MiSTer-devel/Arcade-Pleiads_MiSTer
Arcade-PolyPlay_MiSTer	2	polyplay	VEB Polytechnik	1985-1985	https://github.com/MiSTer-devel/Arcade-PolyPlay_MiSTer
Arcade-Pong_MiSTer	1	pong	Atari	1972-1972	https://github.com/MiSTer-devel/Arcade-Pong_MiSTer
Arcade-Pooyan_MiSTer	1	pooyan	Konami	1982-1982	https://github.com/MiSTer-devel/Arcade-Pooyan_MiSTer
Arcade-Popeye_MiSTer	2	popeye	Nintendo	1981-1982	https://github.com/MiSTer-devel/Arcade-Popeye_MiSTer
Arcade-Psychic5_MiSTer	1	Psychic5	Jaleco	1987-1987	https://github.com/MiSTer-devel/Arcade-Psychic5_MiSTer
Arcade-QBert_MiSTer	9	qbert	Gottlieb	1982-1983	https://github.com/MiSTer-devel/Arcade-QBert_MiSTer
Arcade-Qix_MiSTer	12	Qix	Taito America Corporation	1981-1983	https://github.com/MiSTer-devel/Arcade-Qix_MiSTer
Arcade-Raiden_MiSTer	5	Raiden	Seibu Kaihatsu	1990-1990	https://github.com/MiSTer-devel/Arcade-Raiden_MiSTer
Arcade-RallyX_MiSTer	2	rallyx	Namco	1980-1981	https://github.com/MiSTer-devel/Arcade-RallyX_MiSTer
Arcade-RiverPatrol_MiSTer	1	riverpatrol	Orca	1981-1981	https://github.com/MiSTer-devel/Arcade-RiverPatrol_MiSTer
Arcade-Robotron_MiSTer	8	robotron	Williams	1981-1985	https://github.com/MiSTer-devel/Arcade-Robotron_MiSTer
Arcade-RushnAttack_MiSTer	2	rshnatk	Konami	1985-1986	https://github.com/MiSTer-devel/Arcade-RushnAttack_MiSTer
Arcade-Rygar_MiSTer	1	rygar	Tecmo	1986-1986	https://github.com/MiSTer-devel/Arcade-Rygar_MiSTer
Arcade-SEGASYS1_MiSTer	18	segasys1	Sega	1983-1987	https://github.com/MiSTer-devel/Arcade-SEGASYS1_MiSTer
Arcade-SNK6502_MiSTer	6	SNK6502	SNK	1980-1982	https://github.com/MiSTer-devel/Arcade-SNK6502_MiSTer
Arcade-SNK_TripleZ80_MiSTer	3	SNK_TripleZ80	SNK	1985-1985	https://github.com/MiSTer-devel/Arcade-SNK_TripleZ80_MiSTer
Arcade-Salamander_MiSTer	6	Salamander	Konami	1986-1986	https://github.com/MiSTer-devel/Arcade-Salamander_MiSTer
Arcade-ScooterShooter_MiSTer	1	ScooterShooter	Konami	1986-1986	https://github.com/MiSTer-devel/Arcade-ScooterShooter_MiSTer
Arcade-Scramble_MiSTer	21	scramble	Stern	1980-1984	https://github.com/MiSTer-devel/Arcade-Scramble_MiSTer
Arcade-SegaVICZ80_MiSTer	27	SegaVICZ80	Sega Enterprises/Gremlin Industries	1980-1981	https://github.com/MiSTer-devel/Arcade-SegaVICZ80_MiSTer
Arcade-SilverLand_MiSTer	1	silverland	Falcon	1981-1981	https://github.com/MiSTer-devel/Arcade-SilverLand_MiSTer
Arcade-SkySkipper_MiSTer	1	popeye	Nintendo	1981-1981	https://github.com/MiSTer-devel/Arcade-SkySkipper_MiSTer
Arcade-SlapFight_MiSTer	3	SlapFight	Toaplan	1985-1986	https://github.com/MiSTer-devel/Arcade-SlapFight_MiSTer
Arcade-SolomonsKey_MiSTer	1	solomonskey	Tecmo	1986-1986	https://github.com/MiSTer-devel/Arcade-SolomonsKey_MiSTer
Arcade-Sonson_MiSTer	1	sonson	Capcom		https://github.com/MiSTer-devel/Arcade-Sonson_MiSTer
Arcade-SpaceFirebird_MiSTer	2	SpaceFirebird	Nintendo	1980-1980	https://github.com/MiSTer-devel/Arcade-SpaceFirebird_MiSTer
Arcade-SpaceInvaders_MiSTer	110	spaceinvaders	Taito	1975-1983	https://github.com/MiSTer-devel/Arcade-SpaceInvaders_MiSTer
Arcade-SpaceRace_MiSTer	1	spacerace	Atari	1973-1973	https://github.com/MiSTer-devel/Arcade-SpaceRace_MiSTer
Arcade-Sprint1_MiSTer	1	sprint1	Atari	1978-1978	https://github.com/MiSTer-devel/Arcade-Sprint1_MiSTer
Arcade-Sprint2_MiSTer	1	sprint2	Atari	1976-1976	https://github.com/MiSTer-devel/Arcade-Sprint2_MiSTer
Arcade-StarForce_MiSTer	2	starforce	Able Corp	1984-1984	https://github.com/MiSTer-devel/Arcade-StarForce_MiSTer
Arcade-StarWars_MiSTer	2	StarWars	Atari	1983-1985	https://github.com/MiSTer-devel/Arcade-StarWars_MiSTer
Arcade-Subs_MiSTer	1	subs	Atari	1978-1978	https://github.com/MiSTer-devel/Arcade-Subs_MiSTer
Arcade-SuperBreakout_MiSTer	1	superbreakout	Atari	1978-1978	https://github.com/MiSTer-devel/Arcade-SuperBreakout_MiSTer
