alt_folder	mra_file	name	setname	parent	mameversion	rbf	year	manufacturer
_Joust	Joust (Solid Red label).mra	Joust	joustr	joust	0218	robotron	1982	Williams
_Joust	Joust (White-Red label).mra	Joust	joustwr	joust	0218	robotron	1982	Williams
_Joust 2	Joust 2 - Survival of the Fittest (revision 1).mra	Joust 2 - Survival of the Fittest (revision 1)	joust2r1	joust2	0226	joust2	1986	Williams
_Jump Shot	Jump Shot Engineering Sample.mra	Jump Shot	jumpshotp	jumpshot	0218	pacman	1985	Bally
_Jungle King	Jungle Hunt US.mra		jungleh	junglek	0245	TaitoSJ	1982	Taito America Corporation
_Jungle King	Pirate Pete.mra		piratpet	junglek	0245	TaitoSJ	1982	Taito America Corporation
_Juno First	Juno First (Gottlieb).mra		junofrstg	junofrst	0220	JunoFirst	1983	Konami (Gottlieb license)
_Kangaroo	Kangaroo (Atari).mra	Kangaroo (Atari)	kangarooa	kangaroo	0270	Kangaroo	1982	Sun Electronics (Atari license)
_Kangaroo	Kangaroo (Bootleg).mra	Kangaroo (bootleg)	kangaroob	kangaroo	0270	Kangaroo	1982	Sun Electronics (bootleg)
_Ketsui - Kizuna Jigoku Tachi	Ketsui - Kizuna Jigoku Tachi (2003.01.01 Master Ver).mra	Ketsui - Kizuna Jigoku Tachi (2003.01.01 Master Ver)	ketb		288	IGSPGM		
_Ketsui - Kizuna Jigoku Tachi	Ketsui - Kizuna Jigoku Tachi (2003.01.01 Master Ver.).mra	Ketsui - Kizuna Jigoku Tachi (2003.01.01 Master Ver.)	keta		288	IGSPGM		
_Ketsui - Kizuna Jigoku Tachi	Ketsui - Kizuna Jigoku Tachi (2003.01.01. Master Ver.) (alt ROM fill).mra	Ketsui - Kizuna Jigoku Tachi (2003.01.01. Master Ver.) (alt ROM fill)	ket1		288	IGSPGM		
_Ketsui - Kizuna Jigoku Tachi	Ketsui - Kizuna Jigoku Tachi (2012.04.17 ARRANGE VER) (hack).mra	Ketsui - Kizuna Jigoku Tachi (2012.04.17 ARRANGE VER) (hack)	ketarr10		288	IGSPGM		
_Ketsui - Kizuna Jigoku Tachi	Ketsui - Kizuna Jigoku Tachi (2012.04.17 FAST. VER) (hack).mra	Ketsui - Kizuna Jigoku Tachi (2012.04.17 FAST. VER) (hack)	ketarrf		288	IGSPGM		
_Ketsui - Kizuna Jigoku Tachi	Ketsui - Kizuna Jigoku Tachi (2012.06.26 ARRANGE 1.5 VER) (hack).mra	Ketsui - Kizuna Jigoku Tachi (2012.06.26 ARRANGE 1.5 VER) (hack)	ketarr15		288	IGSPGM		
_Ketsui - Kizuna Jigoku Tachi	Ketsui - Kizuna Jigoku Tachi (2012.06.26 ARRANGE 1.51 VER) (hack).mra	Ketsui - Kizuna Jigoku Tachi (2012.06.26 ARRANGE 1.51 VER) (hack)	ketarr151		288	IGSPGM		
_Ketsui - Kizuna Jigoku Tachi	Ketsui - Kizuna Jigoku Tachi (2012.06.27 MR.STOIC 1.5 VER) (hack).mra	Ketsui - Kizuna Jigoku Tachi (2012.06.27 MR.STOIC 1.5 VER) (hack)	ketarrs15		288	IGSPGM		
_Ketsui - Kizuna Jigoku Tachi	Ketsui - Kizuna Jigoku Tachi (2012.06.27 MR.STOIC 1.51 VER) (hack).mra	Ketsui - Kizuna Jigoku Tachi (2012.06.27 MR.STOIC 1.51 VER) (hack)	ketarrs151		288	IGSPGM		
_Ketsui - Kizuna Jigoku Tachi	Ketsui - Kizuna Jigoku Tachi (2014.07.16 ARRANGE 1.7 VER) (hack).mra	Ketsui - Kizuna Jigoku Tachi (2014.07.16 ARRANGE 1.7 VER) (hack)	ketarr		288	IGSPGM		
_Ketsui - Kizuna Jigoku Tachi	Ketsui - Kizuna Jigoku Tachi (IKD 2007 Special - 2007 Cave Matsuri Version).mra	Ketsui - Kizuna Jigoku Tachi (IKD 2007 Special - 2007 Cave Matsuri Version)	ketikd		288	IGSPGM		
_Ketsui - Kizuna Jigoku Tachi	Ketsui Kizuna Jigoku Tachi (2003.01.01. Master Ver., bootleg cartridge conversion).mra	Ketsui: Kizuna Jigoku Tachi (2003/01/01. Master Ver., bootleg cartridge conversion)	ketbl		288	IGSPGM		
_Kick	Kick (cocktail).mra	Kick	kickc	kick	0218	mcr1	1981	Midway
_Kick	Kick-Man.mra	Kick-Man	kickman	kick	0216	mcr1	1980	Midway
_Kid Niki - Radical Ninja	Kaiketsu Yanchamaru (Japan).mra	Kaiketsu Yanchamaru	yanchamr	kidniki	0221	iremm62	1986	Irem
_Kid Niki - Radical Ninja	Kid Niki - Radical Ninja (US).mra	Kid Niki - Radical Ninja	kidnikiu	kidniki	0221	iremm62	1986	Irem
_King and Balloon	King and Balloon (Japan).mra	King and Balloon	kingballj	kingball	0216	galaxian	1980	Namco
_Knights of Valour 2	Knights of Valour 2 (ver. 100, 100, 100HK).mra	Knights of Valour 2 (ver. 100, 100, 100HK)	kov2100		288	IGSPGM		
_Knights of Valour 2	Knights of Valour 2 (ver. 101, 101, 100HK).mra	Knights of Valour 2 (ver. 101, 101, 100HK)	kov2101		288	IGSPGM		
_Knights of Valour 2	Knights of Valour 2 (ver. 102, 101, 100HK).mra	Knights of Valour 2 (ver. 102, 101, 100HK)	kov2102		288	IGSPGM		
_Knights of Valour 2	Knights of Valour 2 (ver. 102, 102, 100HK).mra	Knights of Valour 2 (ver. 102, 102, 100HK)	kov21022		288	IGSPGM		
_Knights of Valour 2	Knights of Valour 2 (ver. 103, 101, 100HK).mra	Knights of Valour 2 (ver. 103, 101, 100HK)	kov2103		288	IGSPGM		
_Knights of Valour 2	Knights of Valour 2 (ver. 104, 102, 100HK).mra	Knights of Valour 2 (ver. 104, 102, 100HK)	kov2104		288	IGSPGM		
_Knights of Valour 2	Knights of Valour 2 (ver. 106, 102, 100HK).mra	Knights of Valour 2 (ver. 106, 102, 100HK)	kov2106		288	IGSPGM		
_Knights of Valour Super Heroes	Knights of Valour Super Heroes (ver. 100, CN).mra	Knights of Valour Super Heroes (ver. 100, CN)	kovsh100		288	IGSPGM		
_Knights of Valour Super Heroes	Knights of Valour Super Heroes (ver. 101, CN).mra	Knights of Valour Super Heroes (ver. 101, CN)	kovsh101		288	IGSPGM		
_Knights of Valour Super Heroes	Knights of Valour Super Heroes (ver. 102, CN).mra	Knights of Valour Super Heroes (ver. 102, CN)	kovsh102		288	IGSPGM		
_Knights of Valour Super Heroes	Knights of Valour Super Heroes (ver. 103, CN).mra	Knights of Valour Super Heroes (ver. 103, CN)	kovsh103		288	IGSPGM		
_Kung-Fu Master	Kung-Fu Master (bootleg set 1).mra	Kung-Fu Master	kungfub	kungfum	0221	iremm62	1984	Irem
